gene_id,gene_symbol,ensembl_id,gene_title,gene_type,src,feature_space
10007,GNPDA1,ENSG00000113552,glucosamine-6-phosphate deaminase 1,protein-coding,NCBI,landmark
1001,CDH3,ENSG00000062038,cadherin 3,protein-coding,NCBI,landmark
10013,HDAC6,ENSG00000094631,histone deacetylase 6,protein-coding,NCBI,landmark
10038,PARP2,ENSG00000129484,poly(ADP-ribose) polymerase 2,protein-coding,NCBI,landmark
10046,MAMLD1,ENSG00000013619,mastermind like domain containing 1,protein-coding,NCBI,landmark
10049,DNAJB6,ENSG00000105993,DnaJ heat shock protein family (Hsp40) member B6,protein-coding,NCBI,landmark
10051,SMC4,ENSG00000113810,structural maintenance of chromosomes 4,protein-coding,NCBI,landmark
10057,ABCC5,ENSG00000114770,ATP binding cassette subfamily C member 5,protein-coding,NCBI,landmark
10058,ABCB6,ENSG00000115657,ATP binding cassette subfamily B member 6 (Langereis blood group),protein-coding,NCBI,landmark
10059,DNM1L,ENSG00000087470,dynamin 1 like,protein-coding,NCBI,landmark
10099,TSPAN3,ENSG00000140391,tetraspanin 3,protein-coding,NCBI,landmark
10112,KIF20A,ENSG00000112984,kinesin family member 20A,protein-coding,NCBI,landmark
10123,ARL4C,ENSG00000188042,ADP ribosylation factor like GTPase 4C,protein-coding,NCBI,landmark
10131,TRAP1,ENSG00000126602,TNF receptor associated protein 1,protein-coding,NCBI,landmark
10146,G3BP1,ENSG00000145907,G3BP stress granule assembly factor 1,protein-coding,NCBI,landmark
10150,MBNL2,ENSG00000139793,muscleblind like splicing regulator 2,protein-coding,NCBI,landmark
10153,CEBPZ,ENSG00000115816,CCAAT enhancer binding protein zeta,protein-coding,NCBI,landmark
10165,SLC25A13,ENSG00000004864,solute carrier family 25 member 13,protein-coding,NCBI,landmark
1017,CDK2,ENSG00000123374,cyclin dependent kinase 2,protein-coding,NCBI,landmark
10174,SORBS3,ENSG00000120896,sorbin and SH3 domain containing 3,protein-coding,NCBI,landmark
10180,RBM6,ENSG00000004534,RNA binding motif protein 6,protein-coding,NCBI,landmark
1019,CDK4,ENSG00000135446,cyclin dependent kinase 4,protein-coding,NCBI,landmark
10190,TXNDC9,ENSG00000115514,thioredoxin domain containing 9,protein-coding,NCBI,landmark
102,ADAM10,ENSG00000137845,ADAM metallopeptidase domain 10,protein-coding,NCBI,landmark
10206,TRIM13,ENSG00000204977,tripartite motif containing 13,protein-coding,NCBI,landmark
1021,CDK6,ENSG00000105810,cyclin dependent kinase 6,protein-coding,NCBI,landmark
1022,CDK7,ENSG00000134058,cyclin dependent kinase 7,protein-coding,NCBI,landmark
10221,TRIB1,ENSG00000173334,tribbles pseudokinase 1,protein-coding,NCBI,landmark
10227,MFSD10,ENSG00000109736,major facilitator superfamily domain containing 10,protein-coding,NCBI,landmark
10237,SLC35B1,ENSG00000121073,solute carrier family 35 member B1,protein-coding,NCBI,landmark
10245,TIMM17B,ENSG00000126768,translocase of inner mitochondrial membrane 17B,protein-coding,NCBI,landmark
1026,CDKN1A,ENSG00000124762,cyclin dependent kinase inhibitor 1A,protein-coding,NCBI,landmark
1027,CDKN1B,ENSG00000111276,cyclin dependent kinase inhibitor 1B,protein-coding,NCBI,landmark
10270,AKAP8,ENSG00000105127,A-kinase anchoring protein 8,protein-coding,NCBI,landmark
10273,STUB1,ENSG00000103266,STIP1 homology and U-box containing protein 1,protein-coding,NCBI,landmark
10276,NET1,ENSG00000173848,neuroepithelial cell transforming 1,protein-coding,NCBI,landmark
10285,SMNDC1,ENSG00000119953,survival motor neuron domain containing 1,protein-coding,NCBI,landmark
1029,CDKN2A,ENSG00000147889,cyclin dependent kinase inhibitor 2A,protein-coding,NCBI,landmark
10298,PAK4,ENSG00000130669,p21 (RAC1) activated kinase 4,protein-coding,NCBI,landmark
10318,TNIP1,ENSG00000145901,TNFAIP3 interacting protein 1,protein-coding,NCBI,landmark
10320,IKZF1,ENSG00000185811,IKAROS family zinc finger 1,protein-coding,NCBI,landmark
10329,RXYLT1,ENSG00000118600,ribitol xylosyltransferase 1,protein-coding,NCBI,landmark
10362,HMG20B,ENSG00000064961,high mobility group 20B,protein-coding,NCBI,landmark
10398,MYL9,ENSG00000101335,myosin light chain 9,protein-coding,NCBI,landmark
10434,LYPLA1,ENSG00000120992,lysophospholipase 1,protein-coding,NCBI,landmark
10450,PPIE,ENSG00000084072,peptidylprolyl isomerase E,protein-coding,NCBI,landmark
10451,VAV3,ENSG00000134215,vav guanine nucleotide exchange factor 3,protein-coding,NCBI,landmark
10489,LRRC41,ENSG00000132128,leucine rich repeat containing 41,protein-coding,NCBI,landmark
10491,CRTAP,ENSG00000170275,cartilage associated protein,protein-coding,NCBI,landmark
10493,VAT1,ENSG00000108828,vesicle amine transport 1,protein-coding,NCBI,landmark
10494,STK25,ENSG00000115694,serine/threonine kinase 25,protein-coding,NCBI,landmark
1050,CEBPA,ENSG00000245848,CCAAT enhancer binding protein alpha,protein-coding,NCBI,landmark
10513,APPBP2,ENSG00000062725,amyloid beta precursor protein binding protein 2,protein-coding,NCBI,landmark
1052,CEBPD,ENSG00000221869,CCAAT enhancer binding protein delta,protein-coding,NCBI,landmark
10523,CHERP,ENSG00000085872,calcium homeostasis endoplasmic reticulum protein,protein-coding,NCBI,landmark
10525,HYOU1,ENSG00000149428,hypoxia up-regulated 1,protein-coding,NCBI,landmark
10557,RPP38,ENSG00000152464,ribonuclease P/MRP subunit p38,protein-coding,NCBI,landmark
10559,SLC35A1,ENSG00000164414,solute carrier family 35 member A1,protein-coding,NCBI,landmark
10589,DRAP1,ENSG00000175550,DR1 associated protein 1,protein-coding,NCBI,landmark
10606,PAICS,ENSG00000128050,phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase,protein-coding,NCBI,landmark
10610,ST6GALNAC2,ENSG00000070731,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2",protein-coding,NCBI,landmark
10617,STAMBP,ENSG00000124356,STAM binding protein,protein-coding,NCBI,landmark
1062,CENPE,ENSG00000138778,centromere protein E,protein-coding,NCBI,landmark
10641,NPRL2,ENSG00000114388,"NPR2 like, GATOR1 complex subunit",protein-coding,NCBI,landmark
