pr_gene_symbol,Erlotinib,Olaparib,Gemcitabine
GNPDA1,0.016376495,0.022589684,0.098350525
CDH3,-0.039138794,-0.8023529,-0.3073001
HDAC6,0.02898693,-0.0740881,-0.5342493
PARP2,-0.56415844,0.16999245,1.1618004
MAMLD1,-0.6472945,1.1702542,0.0055999756
DNAJB6,0.97280407,0.27647114,-0.7587004
SMC4,-0.46300793,-0.16488266,1.0202999
ABCC5,-0.30935335,0.15840435,-0.46955013
ABCB6,0.37836838,-0.17908573,-0.25814962
DNM1L,-0.104842186,0.09188652,0.18799973
TSPAN3,0.26007843,-0.05375099,-0.021900177
KIF20A,-1.8064919,-1.0499687,-1.3709002
ARL4C,0.057971,0.049604416,-1.684351
TRAP1,0.2354765,0.40708923,-0.6970997
G3BP1,-0.73768234,-0.09771919,-1.0204
MBNL2,1.1910439,0.11107445,-0.5237999
CEBPZ,0.47789764,0.049687386,0.6711998
SLC25A13,-0.17033291,-0.16287804,-0.45270061
CDK2,-0.50368595,0.037592888,0.8069992
SORBS3,-1.6670599,-0.09049559,0.27019978
RBM6,0.48963118,-0.09843063,0.043899536
CDK4,-0.20483303,-0.06034565,0.0009498596
TXNDC9,-0.21955681,0.051880836,-0.9183998
ADAM10,1.4898825,-0.20116043,-0.5574999
TRIM13,0.628005,-0.20550156,0.22489929
CDK6,-0.35888433,-0.2921605,0.20629978
CDK7,-0.16310215,-0.1700964,1.6204004
TRIB1,-0.16898155,-0.043733597,0.16249943
MFSD10,-0.09415007,-0.08992195,-0.04979992
SLC35B1,0.009935379,-0.037104607,-0.24600029
TIMM17B,0.13173199,0.027637482,0.120500565
CDKN1A,0.5567188,0.6001668,4.0375004
CDKN1B,0.47170067,-0.47876167,-0.11280012
AKAP8,-0.42947006,-0.27918148,0.16499949
STUB1,0.20388317,-0.3818655,-0.37409973
NET1,-0.12479019,0.11486912,-0.3298998
SMNDC1,-0.14756298,0.066661835,0.8998003
CDKN2A,0.200706,-0.3769064,0.008699894
PAK4,-0.70563316,0.05866909,-0.20359755
TNIP1,-0.15042496,-0.7119446,1.2051506
IKZF1,0.0058948994,0.76626205,3.2728996
TMEM5,0.24393082,0.0032205582,1.0744
HMG20B,-0.14992619,-0.48145485,-0.3426504
MYL9,-0.43150806,0.33676624,-0.49730015
LYPLA1,-0.4551344,-0.08469677,-0.19200039
PPIE,0.086013794,-0.21377087,0.34959984
VAV3,-1.8670893,-0.31897163,0.26615
LRRC41,0.27550697,0.2501812,-0.28219986
CRTAP,-0.52458334,-0.074534416,-0.24619961
VAT1,0.10260868,-0.40933847,-0.12275028
STK25,-0.12883282,0.15133858,-0.65820026
CEBPA,-0.700161,0.2803831,0.17199993
APPBP2,0.22526073,0.09638739,-0.36719942
CEBPD,1.2427773,0.12051773,1.6258497
CHERP,-0.5931034,-0.10070515,0.6670003
HYOU1,0.9895363,0.0049800873,-0.41959953
RPP38,-0.3288536,-0.14169502,-0.15105009
SLC35A1,0.3122177,-0.05687809,-0.6729002
DRAP1,-0.31213856,-0.004166603,0.15059948
PAICS,-0.80201054,0.106925964,-0.002500534
ST6GALNAC2,-0.110527515,-0.18655777,0.08749962
STAMBP,-0.12654209,-0.059663773,0.64649963
CENPE,-0.24202251,-0.12304878,-0.33200073
NPRL2,1.1788268,-0.057412624,-0.7894492
IGF2BP2,-0.5816879,-0.53117085,1.4707003
YKT6,-0.8011017,0.030626297,1.7567997
CGRRF1,-0.7976446,-0.06706047,0.6893997
RRAGA,0.062192917,0.008580208,0.14889908
GNB5,-0.13245821,0.2753768,0.49419975
EBP,-1.3683305,-0.2035284,0.40874958
CNPY3,0.32728195,-0.79779434,-2.3858004
CETN3,-0.07782841,-0.2759781,-1.2475996
YME1L1,-1.2728548,-1.0446458,0.34489965
TCFL5,0.42219734,-0.23476505,-0.26760006
KDM5B,0.07046652,-0.07241249,-0.022799969
POP4,-0.4401598,0.024806976,-1.1069002
ARPP19,-0.5783005,-0.060191154,-0.40950012
ZNF274,-0.6998024,0.008172989,0.8067999
MTHFD2,0.9857025,0.094926834,0.7994003
WASF3,-0.44759512,0.08383751,-0.62239933
UTP14A,0.3711071,0.10184288,-0.10949993
FRS2,0.7550149,-0.5001683,0.14884996
CLPX,-0.030827522,0.2687292,-0.20625019
PGRMC1,-0.40153503,-0.11447716,0.24419975
MALT1,-0.6376295,-0.19572449,-0.4569502
CPSF4,0.17119312,0.18647957,-0.14919949
BLCAP,0.028903961,0.013171196,-1.0601006
TCERG1,-0.810379,-5.722046e-06,0.7358999
RNPS1,-0.2355938,0.028268814,0.44820023
TOMM34,-1.1462002,-0.33111763,1.7498989
PDIA5,-0.74018526,0.47357845,0.022599697
MLLT11,-0.7135258,0.11292267,-0.4541998
EBNA1BP2,-0.4879446,0.03659916,-0.07400036
TMED10,-0.07368088,-0.0750618,-0.5972996
ASCC3,-0.8340273,-0.26045036,0.97685003
SLC27A3,0.6747236,0.56021786,-0.6043
KIF2C,-0.71151733,-0.2293961,0.23344994
CCDC85B,0.34651184,0.15262747,-0.2342
TLK2,0.15840912,-0.131567,0.26034927
KDELR2,-0.3504362,-0.002729416,0.30589962
RAB31,-0.5690322,-0.1802206,-0.74900055
B4GAT1,-0.4347353,-0.053619385,-0.8147001
PAPD7,1.3983707,0.7403326,-1.4025002
UBE2C,-0.43162155,-0.05445671,-0.28950024
DUSP14,-0.54871607,-0.12680817,2.11685
TOPBP1,0.09448147,0.2598095,0.5510006
PRSS23,-0.8723755,-0.31072235,-2.2420998
CHEK1,-0.44848442,0.039243698,0.16844988
PWP1,-0.32192802,0.020348549,-0.014300346
PKIG,0.32747555,-0.51595306,-0.3621006
CORO1A,0.1843853,0.5125408,0.07365036
LSM6,-0.69916344,0.06511402,-0.08080006
PSIP1,0.14906693,0.82584476,0.6682997
SLC2A6,-0.8502703,-0.07322788,1.0595999
NISCH,-0.15202904,-0.43433332,-0.5890994
CHEK2,-0.5619464,0.09440136,-0.6683507
CHN1,1.696733,0.8110976,-0.5470996
PRAF2,0.13247967,-0.3527937,0.17590046
POLG2,-0.3998704,0.41891098,-1.8773994
CHP1,-0.48800945,-0.17884445,-0.33589983
PNKP,-0.16100883,0.77019405,-0.43730068
ECD,-0.40394783,0.1160326,0.48069954
DDX42,-0.24578476,-0.108156204,0.46509933
TWF2,-0.7508254,-0.044668674,-0.9064002
CIRBP,0.03607464,-0.18302488,0.8918495
RPL39L,-1.0154691,0.16202545,-0.21139956
CLTB,-0.5862727,0.030796051,0.9576998
CLTC,-0.04348278,-0.28774452,0.0364995
CANT1,1.4587088,-0.15321922,-0.92990017
COL1A1,0.40020752,0.07663584,0.15159988
