pr_gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PMM2,1203.78825367035,0.626478434937193,0.26447631285678097,2.3687506384605497,0.017848282541188,0.187502962719411
SPN,311.948735141898,-1.4973259771722498,0.57043615987013,-2.6248791407493197,0.00866797288406244,0.12990166165707198
RAB40B,367.671752615693,0.757513139129677,0.335338962975968,2.25894758070199,0.0238866457727043,0.21570389607445198
PSAP,36930.0779904025,-0.6844922990235829,0.25545631037216804,-2.67948870797657,0.00737346901784294,0.11774632119526401
ITGA3,10525.621028096899,1.48529049143396,0.513593886878969,2.8919551602528704,0.00382852583670876,0.0836108294252232
ITGA4,459.823336603448,-1.85746508615621,0.5719860132600071,-3.24739599062864,0.00116466223526302,0.045211469679020996
ITGA6,6331.721540058111,1.31932247687516,0.42873879054820596,3.0772174245960198,0.00208942836366133,0.0624137042053683
SWAP70,1525.62162722804,-0.862135461610162,0.292214899432729,-2.9503473754548697,0.00317416827037144,0.0758015468794393
PHLDA2,909.9963379352679,1.91813158697492,0.6915656995518139,2.77360717603261,0.00554385757434926,0.101480371444789
SLC35D2,873.975737409714,0.616233786410248,0.286070877357774,2.15412974610329,0.0312299983757028,0.24154722160828
CHST2,207.97953166708197,-0.934435744552143,0.43316977987755395,-2.15720437565216,0.0309897436911728,0.241338255940576
ITGAX,738.605470290435,-1.79251529889105,0.50305225367995,-3.56327853772321,0.000366251696000721,0.0266728094641186
BCL2A1,164.910337617804,-1.27501295810385,0.5861051856960501,-2.17539955151509,0.0296001880904666,0.23810448516809898
GPSM2,295.86158195614297,1.1962369574693898,0.35739636163387,3.3470876759927797,0.000816653767830521,0.0378930799398034
ITGAL,532.124244738387,-2.42830324081586,0.6691592347457951,-3.6288869894149305,0.00028464580608101697,0.0226995370424066
SMAD6,215.598025908544,1.0617963769196201,0.40478583521470396,2.62310655301569,0.00871320176953745,0.12990593624119
GOLPH3L,1101.33125054593,0.765898296553809,0.25690144832580103,2.9812922486232996,0.0028703472716363103,0.0718565345388045
CKS1B,635.6279320941841,1.19457784221243,0.399533262765202,2.9899333886361896,0.00279038290514198,0.0707775890499713
BFAR,1785.5735300459698,0.537671096839306,0.22288694907385898,2.4123040809407597,0.0158520544791776,0.178629544847203
SIPA1,1229.70184567001,-0.9166134025286441,0.36089972179570706,-2.5398008010865296,0.0110915621246802,0.148201433574953
CRTAM,27.3189094256098,-1.4660890215183002,0.612841214896978,-2.39228202327214,0.016743970704898997,0.18170716720390398
CBLC,845.615627704301,1.54245481826848,0.5944269199835389,2.59486030395661,0.00946293717932716,0.13618114465218
IL10RA,747.4022626189391,-1.51867300106133,0.508356193039739,-2.9874191007300497,0.0028134374469748,0.0710372801797763
RNF128,1543.78502679951,1.3994113655804599,0.5097417561689679,2.74533398263843,0.0060449343882487605,0.105481112533164
CFP,96.89311167834428,-2.70516548947339,0.682761667234,-3.96209339114268,7.42954661492693e-05,0.0105757654270423
CHFR,564.8727199463391,-0.63240880303911,0.22708262024891102,-2.7849282448208,0.005353956966876,0.0992730318107565
RFX7,414.79424744527296,-0.5223796255115261,0.22255255385023,-2.3472191914862,0.0189141242424014,0.192683540837042
NRXN1,123.56732239136801,2.09464615503998,0.9256725398357901,2.26283708860107,0.0236457336841467,0.215090331098844
MECOM,1265.8158279376,1.30346086096071,0.49391516757709497,2.6390379290331403,0.00831416782465431,0.126974777939088
CEPT1,605.673293994316,-0.45069501273516105,0.174777247619055,-2.57868240217111,0.00991779241160681,0.139389549907595
P2RX7,58.1610354026734,-1.50436900627563,0.599866992937146,-2.5078376106505598,0.0121472477660536,0.154349743784375
HLA-DPA1,6926.269998243431,-1.1420032693173998,0.512102377060191,-2.2300292294545896,0.025745502460053,0.222955344584077
ZAP70,182.54300914226897,-2.36402617643125,0.7597303077007059,-3.1116649585639,0.00186035504214582,0.0582504446551681
RAC2,1490.12221009475,-1.3951894268821299,0.471592028103945,-2.9584669454476296,0.00309173397819058,0.0751667982086869
GSDMB,975.181399999436,1.4276904462155402,0.637466282747913,2.23963287918731,0.0251147663520709,0.22098014979122102
DLGAP5,199.365809615011,1.2624977289339399,0.570519104486569,2.21289299342588,0.0269050238717291,0.22774934712553
OIP5,42.619082576182606,1.50292755931331,0.5686934169188411,2.6427729152486297,0.00822301652106824,0.126019515797658
DNAJA3,1043.6104971566401,0.43196390073789703,0.15817578452088,2.7309104364257206,0.00631596334137074,0.107860986364649
TBC1D9,962.4055730039031,-0.9103597221292071,0.391623009455163,-2.3245818048222597,0.0200943326566836,0.19851038046042102
HOXA6,5.62287127415078,2.9789090121982302,1.1492127270705401,2.59213019663625,0.009538366632014371,0.13622704499402
HOXA5,55.803012435177095,1.45197522702216,0.47434099236323707,3.06103678661253,0.0022057199272911103,0.0635189673179388
HOXA3,213.597977446732,1.40969371303754,0.537341339890014,2.6234603749752203,0.00870415692926723,0.12990593624119
MYO1F,623.887336736734,-1.7036660321904498,0.46997948996135397,-3.6249795333207797,0.00028898433687708,0.0227488403099805
BCR,2522.54349048258,0.5307771909339141,0.24615278980321198,2.15629159173149,0.0310609034180434,0.241338255940576
LY6G6C,12.5443077538941,3.09268412193818,1.18613871074882,2.6073545141999,0.00912448361299096,0.133408691370733
HOXA11,36.6205191356602,4.22169490374533,1.2342382535873502,3.42048619176632,0.0006250930898306059,0.0337939105934928
HOXA10,163.144465922936,3.5458097003626206,0.94066539471868,3.7694696969511097,0.00016359476869561102,0.0170302908032469
RAD54B,67.78914731922171,1.09284093028146,0.391320926744919,2.79269738874412,0.0052270565716644795,0.0978362917089561
SF3B1,6410.42040206457,-0.49160841152173207,0.184313260606492,-2.6672438537741203,0.007647616022338391,0.119801084431262
LGALS4,10726.0832006988,2.31829603123585,0.828894701117606,2.7968522758199197,0.00516031213861902,0.0972677445251568
NMU,184.225437620721,3.68587136647036,0.978090291172052,3.76843671769153,0.00016427311827916298,0.0170302908032469
EIF2AK1,3645.8130559813,0.462725644502261,0.20773339218483103,2.2274976576252596,0.0259140321824667,0.22332953700918998
ASAP2,1862.7898218859698,1.00524489130479,0.380611889071105,2.64112845701725,0.00826303830377248,0.12641300960563
KIAA1033,1058.12998641069,-0.585089169116867,0.267989426736896,-2.18325467627979,0.0290170602828431,0.23610187923583897
PRKX,526.909115408392,-0.869543964000548,0.32414245505694206,-2.6825981923527897,0.007305270260392841,0.11732464396801598
GCNT3,3655.23413697364,2.20437151453486,0.754356937806014,2.9221863073813497,0.0034758355621739897,0.0792472521963188
LPCAT4,2613.83822789199,1.6035376512183401,0.520909070654875,3.07834465082822,0.00208154025596658,0.0622836425656281
OLR1,745.0849304752111,-1.98324708098052,0.7563089961111858,-2.62227091199238,0.00873459682511404,0.12990593624119
ITGAE,264.7442689862,-0.649458139599647,0.26449667626040196,-2.4554491526397997,0.0140708657226432,0.167508426552769
MYO5C,1227.4210335015302,0.81933781393426,0.379628772663543,2.15826057699905,0.0309075779687377,0.241338255940576
ARHGAP25,369.92921491646,-2.12154982271723,0.530457292320383,-3.99947338538211,6.34835861271918e-05,0.0103232925027871
