pr_id,pr_gene_id,pr_gene_symbol,pr_gene_title,pr_is_lm,pr_is_bing,gene_id
202382_s_at,10007,GNPDA1,glucosamine-6-phosphate deaminase 1,1,1,10007
203256_at,1001,CDH3,cadherin 3,1,1,1001
206846_s_at,10013,HDAC6,histone deacetylase 6,1,1,10013
214086_s_at,10038,PARP2,poly(ADP-ribose) polymerase 2,1,1,10038
205088_at,10046,MAMLD1,mastermind like domain containing 1,1,1,10046
209015_s_at,10049,DNAJB6,DnaJ heat shock protein family (Hsp40) member B6,1,1,10049
201664_at,10051,SMC4,structural maintenance of chromosomes 4,1,1,10051
209380_s_at,10057,ABCC5,ATP binding cassette subfamily C member 5,1,1,10057
203192_at,10058,ABCB6,ATP binding cassette subfamily B member 6 (Langereis blood group),1,1,10058
203105_s_at,10059,DNM1L,dynamin 1-like,1,1,10059
200972_at,10099,TSPAN3,tetraspanin 3,1,1,10099
218755_at,10112,KIF20A,kinesin family member 20A,1,1,10112
202208_s_at,10123,ARL4C,ADP ribosylation factor like GTPase 4C,1,1,10123
201391_at,10131,TRAP1,TNF receptor-associated protein 1,1,1,10131
201503_at,10146,G3BP1,GTPase activating protein (SH3 domain) binding protein 1,1,1,10146
203640_at,10150,MBNL2,muscleblind like splicing regulator 2,1,1,10150
203341_at,10153,CEBPZ,CCAAT/enhancer binding protein zeta,1,1,10153
203775_at,10165,SLC25A13,"solute carrier family 25 (aspartate/glutamate carrier), member 13",1,1,10165
204252_at,1017,CDK2,cyclin-dependent kinase 2,1,1,1017
209253_at,10174,SORBS3,sorbin and SH3 domain containing 3,1,1,10174
201967_at,10180,RBM6,RNA binding motif protein 6,1,1,10180
202246_s_at,1019,CDK4,cyclin-dependent kinase 4,1,1,1019
211758_x_at,10190,TXNDC9,thioredoxin domain containing 9,1,1,10190
202604_x_at,102,ADAM10,ADAM metallopeptidase domain 10,1,1,102
203659_s_at,10206,TRIM13,tripartite motif containing 13,1,1,10206
207143_at,1021,CDK6,cyclin-dependent kinase 6,1,1,1021
211297_s_at,1022,CDK7,cyclin-dependent kinase 7,1,1,1022
202241_at,10221,TRIB1,tribbles pseudokinase 1,1,1,10221
209215_at,10227,MFSD10,major facilitator superfamily domain containing 10,1,1,10227
202433_at,10237,SLC35B1,solute carrier family 35 member B1,1,1,10237
203342_at,10245,TIMM17B,translocase of inner mitochondrial membrane 17 homolog B (yeast),1,1,10245
202284_s_at,1026,CDKN1A,"cyclin-dependent kinase inhibitor 1A (p21, Cip1)",1,1,1026
209112_at,1027,CDKN1B,"cyclin-dependent kinase inhibitor 1B (p27, Kip1)",1,1,1027
203848_at,10270,AKAP8,A-kinase anchoring protein 8,1,1,10270
217934_x_at,10273,STUB1,"STIP1 homology and U-box containing protein 1, E3 ubiquitin protein ligase",1,1,10273
201829_at,10276,NET1,neuroepithelial cell transforming 1,1,1,10276
200071_at,10285,SMNDC1,survival motor neuron domain containing 1,1,1,10285
207039_at,1029,CDKN2A,cyclin-dependent kinase inhibitor 2A,1,1,1029
203154_s_at,10298,PAK4,p21 protein (Cdc42/Rac)-activated kinase 4,1,1,10298
207196_s_at,10318,TNIP1,TNFAIP3 interacting protein 1,1,1,10318
205039_s_at,10320,IKZF1,IKAROS family zinc finger 1,1,1,10320
204808_s_at,10329,TMEM5,transmembrane protein 5,1,1,10329
210719_s_at,10362,HMG20B,high mobility group 20B,1,1,10362
201058_s_at,10398,MYL9,myosin light chain 9,1,1,10398
203007_x_at,10434,LYPLA1,lysophospholipase I,1,1,10434
202494_at,10450,PPIE,peptidylprolyl isomerase E,1,1,10450
218807_at,10451,VAV3,vav guanine nucleotide exchange factor 3,1,1,10451
201932_at,10489,LRRC41,leucine rich repeat containing 41,1,1,10489
201380_at,10491,CRTAP,cartilage associated protein,1,1,10491
208626_s_at,10493,VAT1,vesicle amine transport 1,1,1,10493
201314_at,10494,STK25,serine/threonine kinase 25,1,1,10494
204039_at,1050,CEBPA,CCAAT/enhancer binding protein alpha,1,1,1050
202630_at,10513,APPBP2,amyloid beta precursor protein binding protein 2,1,1,10513
203973_s_at,1052,CEBPD,CCAAT/enhancer binding protein delta,1,1,1052
202230_s_at,10523,CHERP,calcium homeostasis endoplasmic reticulum protein,1,1,10523
